feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_price_shape_tdnet_clear,1,2024-09-02,4579,ラクオリア創薬,1,0.5991021247240879,0.0,-2.6856240126382325,True,True,True,2024-08-30,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-03,4369,トリケミカル研究所,1,0.6247699133862181,0.0,-3.584672435105063,True,True,True,2024-09-02,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-04,4889,レナサイエンス,1,0.6197023074378526,0.0,-3.385416666666663,True,True,True,2024-09-03,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-05,4936,アクシージア,1,0.5639920220775568,1.0,0.13605442176871652,True,True,True,2024-09-04,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-06,6034,ＭＲＴ,1,0.5841844337572277,1.0,4.643962848297223,True,True,True,2024-09-05,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-09,9232,パスコ,1,0.615152657174302,0.0,0.0,True,True,True,2024-09-06,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-10,9307,杉村倉庫,1,0.6063470613412064,0.0,-1.1345218800648316,True,True,True,2024-09-09,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-11,4415,ブロードエンタープライズ,1,0.5877545022929609,0.0,-1.5277777777777724,True,True,True,2024-09-10,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-12,4268,エッジテクノロジー,1,0.5898677215112414,0.0,0.0,True,True,True,2024-09-11,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-13,7110,クラシコム,1,0.5857780024787943,1.0,0.37707390648566985,True,True,True,2024-09-12,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-17,7095,Ｍａｃｂｅｅ Ｐｌａｎｅｔ,1,0.5961997150017396,0.0,-7.722132471728593,True,True,True,2024-09-13,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-18,3653,モルフォ,1,0.6291630492945942,0.0,-5.727554179566563,True,True,True,2024-09-17,0.0,0.0,0.0
baseline_price_shape_tdnet_clear,1,2024-09-19,1948,弘電社,1,0.6051390207437916,0.0,-2.140883977900554,True,True,True,2024-09-18,0.0,0.0,0.0
