period_id,marker,state,candidate_rows,observed_return_rows,mean_oc_return_pct,median_oc_return_pct,loss_rate,catastrophic_loss_rate
replay_a,range_expansion,unmarked,67,67,0.9655403710005848,0.7331378299120228,0.3283582089552239,0.014925373134328358
replay_a,range_expansion,unavailable,0,0,,,,
replay_a,close_volatility_expansion,marked,14,14,-1.0424328114632064,-1.1546811850763228,0.5714285714285714,0.14285714285714285
replay_a,close_volatility_expansion,unmarked,68,68,0.9602288659905592,0.7181102886715363,0.3235294117647059,0.0
replay_a,close_volatility_expansion,unavailable,0,0,,,,
replay_a,deep_60d_relative_loser,marked,40,40,0.05080144912345297,-0.13995862944361495,0.525,0.05
replay_a,deep_60d_relative_loser,unmarked,37,37,1.1258699251161008,1.182654402102501,0.24324324324324326,0.0
replay_a,deep_60d_relative_loser,unavailable,5,5,1.4024516665278597,0.6036217303822866,0.0,0.0
replay_a,frequent_flat_session,marked,12,12,-0.39761777132940973,0.2351125286605526,0.4166666666666667,0.0
replay_a,frequent_flat_session,unmarked,70,70,0.7924702397546579,0.7181102886715363,0.35714285714285715,0.02857142857142857
replay_a,frequent_flat_session,unavailable,0,0,,,,
replay_a,large_positive_overnight,marked,13,13,-0.2570871739047003,0.0800640512409911,0.46153846153846156,0.07692307692307693
replay_a,large_positive_overnight,unmarked,69,69,0.7832411128642645,0.7331378299120228,0.34782608695652173,0.014492753623188406
replay_a,large_positive_overnight,unavailable,0,0,,,,
replay_a,count_ge_1,marked,54,54,0.23760005670600035,0.15632515632515442,0.4444444444444444,0.037037037037037035
replay_a,count_ge_1,unmarked,23,23,1.341688788352601,1.2638436482084623,0.2608695652173913,0.0
replay_a,count_ge_1,unavailable,5,5,1.4024516665278597,0.6036217303822866,0.0,0.0
replay_a,count_ge_2,marked,24,24,-0.6856260647407654,-0.35012859480944564,0.5416666666666666,0.08333333333333333
replay_a,count_ge_2,unmarked,53,53,1.1347975612832493,0.8221225710014934,0.32075471698113206,0.0
replay_a,count_ge_2,unavailable,5,5,1.4024516665278597,0.6036217303822866,0.0,0.0
replay_a,count_ge_3,marked,8,8,-2.4599161324946826,-2.2300123001230023,0.875,0.125
replay_a,count_ge_3,unmarked,69,69,0.9183851341187145,0.8196721311475308,0.3333333333333333,0.014492753623188406
replay_a,count_ge_3,unavailable,5,5,1.4024516665278597,0.6036217303822866,0.0,0.0
replay_b,range_expansion,marked,17,17,-0.3481347843101248,-0.7042253521126751,0.5882352941176471,0.058823529411764705
replay_b,range_expansion,unmarked,97,97,-0.19975105222543676,0.0,0.4948453608247423,0.020618556701030927
replay_b,range_expansion,unavailable,0,0,,,,
replay_b,close_volatility_expansion,marked,11,11,-0.24549786724058323,-0.3533568904593664,0.5454545454545454,0.09090909090909091
replay_b,close_volatility_expansion,unmarked,102,102,-0.2280424855505856,-0.03753839393977885,0.5098039215686274,0.0196078431372549
replay_b,close_volatility_expansion,unavailable,1,1,0.6666666666666599,0.6666666666666599,0.0,0.0
