date,policy_id,hypothesis_id,capacity,slot,code,name,uplift_score_pct,oc_return_pct,label
2024-07-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,1946,トーエネック,1.2539973589730617,-2.9090909090909056,0.0
2024-07-02,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,5208,有沢製作所,0.4208287638448045,0.8160703075957398,1.0
2024-07-03,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-04,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-05,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-05,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,2659,サンエー,0.6029360313373333,-3.6633663366336666,0.0
2024-07-08,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,2654,アスモ,0.5337338927050027,0.0,0.0
2024-07-09,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6098,リクルートホールディングス,0.8359806729203665,2.529729729729735,1.0
2024-07-10,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-11,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6525,ＫＯＫＵＳＡＩ ＥＬＥＣＴＲＩＣ,1.2096488022806,0.9090909090909038,1.0
2024-07-11,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-12,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,4443,Ｓａｎｓａｎ,0.7587892455591565,0.0,0.0
2024-07-12,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,2998,クリアル,0.45856509269272794,8.94941634241244,1.0
2024-07-16,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,2722,ＩＫホールディングス,1.4474334547549648,0.0,0.0
2024-07-16,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,2340,極楽湯ホールディングス,0.629460959126873,-0.24999999999999467,0.0
2024-07-17,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,3810,サイバーステップ,0.6459188618638695,0.8695652173912993,1.0
2024-07-17,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,4712,ＫｅｙＨｏｌｄｅｒ,0.4463829132302721,1.4723926380368013,1.0
2024-07-18,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,1866,北野建設,0.4032995524078705,1.5471167369901506,1.0
2024-07-18,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-19,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-19,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-22,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,6557,ＡＩＡＩグループ,0.5799039142710168,0.0,0.0
2024-07-22,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
2024-07-23,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,,,,,
2024-07-23,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
