feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_12,2,2024-08-27,5832,ちゅうぎんフィナンシャルグループ,2,0.5503466780518579,1.0,0.2960526315789469,True,True,True,2024-08-26,0.0,0.0,0.0
baseline_12,2,2024-08-28,2923,サトウ食品,1,0.5549541070209049,0.0,-3.562340966921118,True,True,True,2024-08-27,0.0,0.0,0.0
baseline_12,2,2024-08-28,6870,日本フェンオール,2,0.5458889608558516,1.0,1.9138755980861344,True,True,True,2024-08-27,0.0,0.0,0.0
baseline_12,2,2024-08-29,2736,フェスタリアホールディングス,1,0.561424085772663,0.0,-0.7027406886858767,True,True,True,2024-08-28,0.0,0.0,0.0
baseline_12,2,2024-08-29,3892,岡山製紙,2,0.5514128982684278,1.0,1.0432190760059523,True,True,True,2024-08-28,1.0,0.0,0.0
baseline_12,2,2024-08-30,3077,ホリイフードサービス,1,0.5573427578112887,0.0,-0.2801120448179262,True,True,True,2024-08-29,0.0,0.0,0.0
baseline_12,2,2024-08-30,8273,イズミ,2,0.5530689640349299,1.0,1.9405320813771443,True,True,True,2024-08-29,0.0,0.0,0.0
baseline_price_shape,1,2024-06-03,6458,新晃⼯業,1,0.5590841273280706,0.0,-3.6250000000000004,True,True,True,2024-05-31,0.0,0.0,0.0
baseline_price_shape,1,2024-06-04,5803,フジクラ,1,0.5750240441549381,0.0,-1.6260162601625994,True,True,True,2024-06-03,0.0,0.0,0.0
baseline_price_shape,1,2024-06-05,8331,千葉銀行,1,0.5626249188830517,0.0,-0.24999999999999467,True,True,True,2024-06-04,0.0,0.0,0.0
baseline_price_shape,1,2024-06-06,8708,アイザワ証券グループ,1,0.5783289499444196,1.0,0.9037745879851178,True,True,True,2024-06-05,0.0,0.0,0.0
baseline_price_shape,1,2024-06-07,6770,アルプスアルパイン,1,0.5618065754499143,1.0,1.7358747447242973,True,True,True,2024-06-06,0.0,0.0,0.0
baseline_price_shape,1,2024-06-10,9503,関⻄電力,1,0.5583449362589826,1.0,1.2889366272824887,True,True,True,2024-06-07,0.0,0.0,0.0
baseline_price_shape,1,2024-06-11,6151,日東⼯器,1,0.5489804194834916,1.0,0.7562277580071219,True,True,True,2024-06-10,0.0,0.0,0.0
baseline_price_shape,1,2024-06-12,1968,太平電業,1,0.5660544073316907,1.0,1.7307692307692246,True,True,True,2024-06-11,0.0,0.0,0.0
baseline_price_shape,1,2024-06-13,6151,日東⼯器,1,0.5576692767184384,1.0,1.2894619831036014,True,True,True,2024-06-12,0.0,0.0,0.0
baseline_price_shape,1,2024-06-14,5803,フジクラ,1,0.5642263708219838,1.0,7.070386810399487,True,True,True,2024-06-13,0.0,0.0,0.0
baseline_price_shape,1,2024-06-17,3083,シーズメン,1,0.5493670712543995,1.0,1.5564202334630295,True,True,True,2024-06-14,0.0,0.0,0.0
baseline_price_shape,1,2024-06-18,7752,リコー,1,0.5663495973137797,0.0,-0.910746812386154,True,True,True,2024-06-17,0.0,0.0,0.0
baseline_price_shape,1,2024-06-19,3099,三越伊勢丹ホールディングス,1,0.5585586484808998,0.0,-5.326122582759751,True,True,True,2024-06-18,0.0,0.0,0.0
baseline_price_shape,1,2024-06-20,3099,三越伊勢丹ホールディングス,1,0.5610801981461004,0.0,-0.27860003482500506,True,True,True,2024-06-19,0.0,0.0,0.0
baseline_price_shape,1,2024-06-21,7874,レック,1,0.559003111703244,0.0,-0.4376367614879695,True,True,True,2024-06-20,0.0,0.0,0.0
baseline_price_shape,1,2024-06-24,6151,日東⼯器,1,0.5586468507042726,1.0,0.20859407592823676,True,True,True,2024-06-21,0.0,0.0,0.0
baseline_price_shape,1,2024-06-25,3997,トレードワークス,1,0.5620835554658782,1.0,1.9832985386221358,True,True,True,2024-06-24,0.0,0.0,0.0
baseline_price_shape,1,2024-06-26,8254,さいか屋,1,0.5762395852175252,0.0,-1.8867924528301883,True,True,True,2024-06-25,0.0,0.0,0.0
