date,model_rank,code,name,model_score,oc_return_pct,tail_condition_count,tail_flag__range_expansion,tail_flag__close_volatility_expansion,tail_flag__deep_60d_relative_loser,tail_flag__frequent_flat_session,tail_flag__large_positive_overnight,session_range_ratio_5_20,cc_vol_ratio_5_20,xrank_close_momentum_60,flat_oc_rate_20,overnight_last,display_source
2025-05-07,1,8518,日本アジア投資,0.5738449474688269,-0.4366812227074246,0,False,False,False,False,False,0.56866467,0.24310593,0.30396733,0.0,0.4629629629629539,v07_g0_replay
2025-05-07,2,3917,アイリッジ,0.565125816253483,0.0,2,False,False,True,False,True,0.78274167,0.13242126,-0.747958,0.0,2.251407129455907,v07_g0_replay
2025-05-08,1,319A,技術承継機構,0.5780741325236001,-0.450958286358516,,False,False,,False,False,0.68336713,0.600178,,0.0,1.6241299303944245,v07_g0_replay
2025-05-08,2,7375,リファインバースグループ,0.5461180087639858,0.0,0,False,False,False,False,False,0.71793747,0.26412478,0.18653001,0.0,-0.12345679012345512,v07_g0_replay
2025-05-09,1,4475,ＨＥＮＮＧＥ,0.5546033786384843,-1.305483028720622,2,False,False,False,True,True,1.1525104,1.053636,0.3180482,0.1,6.9145845438698395,v07_g0_replay
2025-05-09,2,7782,シンシア,0.53482356165341,6.866952789699576,0,False,False,False,False,False,0.9574739,1.1186603,0.97413284,0.0,0.28368794326241176,v07_g0_replay
2025-05-12,1,3917,アイリッジ,0.5507497796550883,0.0,1,False,False,True,False,False,1.4323806,1.1937884,-0.9303835,0.05,1.5151515151515138,v07_g0_replay
2025-05-12,2,7130,ヤマエグループホールディングス,0.5500394551407118,-1.703163017031628,0,False,False,False,False,False,1.4310282,1.4526601,0.8318584,0.0,1.3425393172228572,v07_g0_replay
2025-05-13,1,4540,ツムラ,0.5649706790819671,-3.240615716986228,3,True,True,True,False,False,1.8404064,1.8253874,-0.8166223,0.0,-0.4600874166091562,v07_g0_replay
2025-05-13,2,6239,ナガオカ,0.5514170599683562,2.8524857375713086,1,False,False,False,False,True,1.2506614,0.27583855,0.3546288,0.0,11.783189316575026,v07_g0_replay
2025-05-14,1,9691,両毛システムズ,0.5530057797264835,0.7294199374782817,0,False,False,False,False,False,1.0979173,1.2088722,0.70115626,0.0,0.20073603211776536,v07_g0_replay
2025-05-14,2,4540,ツムラ,0.5483036392170724,-1.4500836586726185,3,True,True,True,False,False,1.9653987,1.8281722,-0.89030534,0.0,0.40672451193057846,v07_g0_replay
2025-05-15,1,7561,ハークスレイ,0.5613812790682959,-2.828618968386021,3,True,True,True,False,False,1.5217757,1.7124077,-0.6307054,0.0,1.4224751066856278,v07_g0_replay
