candidate_id,date,model_rank,code,name,label,oc_return_pct,ensemble_score
O02_equal_vote_control,2024-08-02,2,3673,ブロードリーフ,0.0,-3.041144901610016,0.17857142857142855
O03_follow_leader_hl20,2024-08-02,1,4549,栄研化学,0.0,-2.6889197960129785,
O03_follow_leader_hl20,2024-08-02,2,8139,ナガホリ,0.0,0.0,
C00_daily_rank_ridge,2024-08-02,1,3673,ブロードリーフ,0.0,-3.041144901610016,
C00_daily_rank_ridge,2024-08-02,2,8139,ナガホリ,0.0,0.0,
O01_softmax_ewma_vote_hl20,2024-08-05,1,9246,プロジェクトホールディングス,0.0,-12.636363636363637,0.3120388803930428
O01_softmax_ewma_vote_hl20,2024-08-05,2,6199,セラク,0.0,-9.51492537313433,0.14721282988636467
O02_equal_vote_control,2024-08-05,1,6930,日本アンテナ,0.0,-7.152875175315565,0.21428571428571427
O02_equal_vote_control,2024-08-05,2,9246,プロジェクトホールディングス,0.0,-12.636363636363637,0.21428571428571427
O03_follow_leader_hl20,2024-08-05,1,6199,セラク,0.0,-9.51492537313433,
O03_follow_leader_hl20,2024-08-05,2,9246,プロジェクトホールディングス,0.0,-12.636363636363637,
C00_daily_rank_ridge,2024-08-05,1,9996,サトー商会,1.0,8.002602472348741,
C00_daily_rank_ridge,2024-08-05,2,6754,アンリツ,0.0,-3.919191919191911,
O01_softmax_ewma_vote_hl20,2024-08-06,1,9162,ブリーチ,0.0,0.0,0.5292284200687799
O01_softmax_ewma_vote_hl20,2024-08-06,2,4496,コマースＯｎｅホールディングス,1.0,12.53968253968254,0.305241912715555
O02_equal_vote_control,2024-08-06,1,9162,ブリーチ,0.0,0.0,0.4285714285714285
O02_equal_vote_control,2024-08-06,2,7035,ａｎｄ ｆａｃｔｏｒｙ,0.0,-7.8767123287671215,0.3214285714285714
O03_follow_leader_hl20,2024-08-06,1,9162,ブリーチ,0.0,0.0,
O03_follow_leader_hl20,2024-08-06,2,4496,コマースＯｎｅホールディングス,1.0,12.53968253968254,
C00_daily_rank_ridge,2024-08-06,1,9162,ブリーチ,0.0,0.0,
C00_daily_rank_ridge,2024-08-06,2,4496,コマースＯｎｅホールディングス,1.0,12.53968253968254,
O01_softmax_ewma_vote_hl20,2024-08-07,1,4814,ネクストウェア,1.0,4.838709677419351,0.6325323658504409
O01_softmax_ewma_vote_hl20,2024-08-07,2,7043,アルー,1.0,2.836004932182501,0.3462229553210361
O02_equal_vote_control,2024-08-07,1,4814,ネクストウェア,1.0,4.838709677419351,0.6785714285714284
O02_equal_vote_control,2024-08-07,2,7043,アルー,1.0,2.836004932182501,0.17857142857142855
